(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion(μ),Mejor Fitness(μ),Fitness(σ),Tiempo(μ)
100-50-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),24,0.7180 (249 0.9995 0.9545 0.7113 0.4932),0.0059,3.72 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme elitismo),19,0.7192 (245 0.9994 0.9549 0.7138 0.4953),0.0059,3.71 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),21,0.7185 (248 0.9994 0.9537 0.7164 0.4943),0.0029,1.94 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),19,0.7148 (251 0.9996 0.9526 0.7099 0.4838),0.0044,3.73 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme elitismo),10,0.7043 (260 1.0000 0.9378 0.7128 0.4752),0.0030,3.70 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),15,0.7060 (259 0.9996 0.9386 0.7123 0.4853),0.0119,1.84 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),9,0.7052 (258 0.9999 0.9365 0.7142 0.4831),0.0119,3.66 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),21,0.7149 (260 0.9956 0.9527 0.7099 0.5009),0.0041,3.73 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),27,0.7193 (256 0.9939 0.9592 0.7137 0.4992),0.0039,1.92 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),20,0.7107 (269 0.9958 0.9524 0.7117 0.4830),0.0041,3.75 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),14,0.7106 (262 0.9974 0.9472 0.7154 0.4916),0.0060,3.69 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),16,0.7122 (268 0.9964 0.9515 0.7154 0.4945),0.0062,1.87 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),16,0.7145 (262 0.9973 0.9532 0.7100 0.4943),0.0028,3.77 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),9,0.7067 (269 0.9983 0.9427 0.7151 0.4876),0.0046,3.69 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),9,0.7039 (276 0.9983 0.9421 0.7145 0.4817),0.0027,1.87 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),9,0.7041 (272 0.9981 0.9447 0.7092 0.4784),0.0045,3.68 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme elitismo),22,0.7152 (259 0.9961 0.9536 0.7142 0.4976),0.0039,3.79 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),26,0.7208 (253 0.9957 0.9597 0.7145 0.5005),0.0031,1.91 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),20,0.7149 (264 0.9958 0.9548 0.7117 0.4968),0.0036,3.71 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme elitismo),16,0.7107 (273 0.9967 0.9504 0.7134 0.4930),0.0058,3.71 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),17,0.7136 (267 0.9951 0.9521 0.7183 0.4977),0.0051,1.88 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),16,0.7107 (260 0.9962 0.9487 0.7175 0.4866),0.0033,3.71 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme elitismo),10,0.7033 (268 0.9968 0.9396 0.7083 0.4755),0.0051,3.65 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),11,0.7080 (270 0.9979 0.9458 0.7101 0.4880),0.0026,1.87 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),10,0.7084 (265 0.9984 0.9442 0.7128 0.4898),0.0041,3.72 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme elitismo),25,0.7154 (257 0.9950 0.9528 0.7144 0.4938),0.0038,3.80 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),30,0.7247 (246 0.9947 0.9619 0.7151 0.5083),0.0048,1.90 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),23,0.7139 (273 0.9952 0.9541 0.7150 0.4969),0.0063,3.74 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme elitismo),16,0.7121 (264 0.9971 0.9498 0.7152 0.4950),0.0055,3.70 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),16,0.7133 (262 0.9971 0.9527 0.7126 0.4908),0.0037,1.89 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),17,0.7137 (267 0.9958 0.9529 0.7134 0.4954),0.0079,3.73 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme elitismo),10,0.7024 (271 0.9976 0.9394 0.7132 0.4756),0.0022,3.65 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),10,0.7043 (283 0.9977 0.9447 0.7116 0.4877),0.0025,1.86 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),11,0.7073 (270 0.9978 0.9460 0.7137 0.4869),0.0043,3.72 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),31,0.7250 (236 1.0000 0.9594 0.7151 0.5037),0.0028,5.99 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),36,0.7322 (228 0.9999 0.9643 0.7177 0.5163),0.0024,3.05 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),36,0.7228 (243 0.9999 0.9603 0.7124 0.4967),0.0061,5.97 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),18,0.7156 (251 0.9998 0.9510 0.7138 0.4943),0.0039,5.97 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),18,0.7192 (247 1.0000 0.9577 0.7164 0.4827),0.0019,3.03 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),17,0.7153 (247 1.0000 0.9485 0.7119 0.4908),0.0025,5.92 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),18,0.7042 (263 0.9999 0.9397 0.7106 0.4770),0.0084,5.91 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),11,0.7062 (256 1.0000 0.9378 0.7143 0.4842),0.0051,3.00 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),12,0.7086 (259 0.9999 0.9427 0.7092 0.4850),0.0060,5.88 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),40,0.7211 (236 1.0000 0.9562 0.7160 0.4890),0.0011,5.98 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),35,0.7323 (221 0.9999 0.9653 0.7139 0.5108),0.0027,3.06 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),36,0.7265 (229 0.9999 0.9607 0.7148 0.4961),0.0042,6.06 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),20,0.7174 (245 0.9999 0.9528 0.7103 0.4921),0.0024,5.96 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),24,0.7200 (240 1.0000 0.9556 0.7168 0.4926),0.0046,2.99 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),28,0.7163 (245 0.9998 0.9528 0.7075 0.4890),0.0069,5.95 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),34,0.7133 (248 0.9998 0.9483 0.7119 0.4844),0.0045,5.89 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),27,0.7096 (253 1.0000 0.9461 0.7087 0.4816),0.0025,2.98 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),31,0.7085 (265 0.9998 0.9436 0.7183 0.4856),0.0020,5.87 min
